time_ms,mass_g
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
6082.0,10.808
916.0,9.251
5999.0,9.943
